vidId,vidTitle,vidUrl,viewCount,likeCount,chanName,chanUrl,subsCount,vidCount,category
_ymdrlT7KGk,Transformers: Rise Of The Beasts - Di Bioskop 7 Juni,https://www.youtube.com/watch?v=_ymdrlT7KGk,1106671,31,UIP Movies Indonesia,https://www.youtube.com/channel/UC5-keBwD6V0qb9KiMSZO7Vw,82700,945,1
EPlsT0X7qnQ,FAST X | Di Bioskop 17 Mei,https://www.youtube.com/watch?v=EPlsT0X7qnQ,5225172,77,UIP Movies Indonesia,https://www.youtube.com/channel/UC5-keBwD6V0qb9KiMSZO7Vw,82700,945,1
qaaJuQlLEyY,Pourquoi on aime les produits de marque Netto ? - Les grillades,https://www.youtube.com/watch?v=qaaJuQlLEyY,3300787,8,NettoFrance,https://www.youtube.com/channel/UCVetyDDXsL0NeWE9ZW-bsow,2000,114,1
kJ6BJdVR7s0,The Luminous Solution | Official Teaser 2 | Introducing the second couple of the series!,https://www.youtube.com/watch?v=kJ6BJdVR7s0,7747,293,GagaOOLala - Find YourStory,https://www.youtube.com/channel/UCAv7YCgnRo86h7gOMMBf-GQ,409000,2335,1
dtwd1Q6b1kc,『ザ・スーパーマリオブラザーズ・ムービー』特別映像 | キャラクター紹介（マリオ編）,https://www.youtube.com/watch?v=dtwd1Q6b1kc,5416,175,IlluminationJP,https://www.youtube.com/channel/UCi0I8qQOvOO0OZlBYovFYdg,106000,137,1
qCeztJ5v_QY,우리에게 지구란 무엇인가? 미완으로 끝난 최고의 명작!!!,https://www.youtube.com/watch?v=qCeztJ5v_QY,5726,257,정오비디오,https://www.youtube.com/channel/UCVmuykrw-LLyWwe45c0wusg,172000,431,1
crt0jGDZpUg,GaviNatura - 100% Natural and Effective Heartburn and Indigestion Relief (20s),https://www.youtube.com/watch?v=crt0jGDZpUg,322383,4,Gaviscon UK,https://www.youtube.com/channel/UC9YXy3ch5DKdsUD4DsNR5sA,6500,47,1
5TPr5tcWJiw,Barbie - Main Trailer (ซับไทย),https://www.youtube.com/watch?v=5TPr5tcWJiw,39068,1601,Warner Bros. Thailand,https://www.youtube.com/channel/UChV8dpQWLtgXL8WonWxoaoA,207000,2605,1
qIeXWLwM4s0,FAST X | NATHALIE EMMANUEL,https://www.youtube.com/watch?v=qIeXWLwM4s0,20772,970,The Fast Saga,https://www.youtube.com/channel/UCJCx8aQrdx_ueXPmxTD2odQ,1880000,254,1
0m0zbYUBwbw,Saga PÂNICO | Entenda a História de TODOS os Filmes | PT. 3,https://www.youtube.com/watch?v=0m0zbYUBwbw,156581,31339,Canal PeeWee,https://www.youtube.com/channel/UCferfyAeOJAjS9GoI4td6gg,1980000,673,1
tJQb5BP1nTU,TVアニメ『ダンジョン飯』ティザーPV,https://www.youtube.com/watch?v=tJQb5BP1nTU,382713,19631,KADOKAWAanime,https://www.youtube.com/channel/UCY5fcqgSrQItPAX_Z5Frmwg,2420000,7340,1
y5Vi7NEcaXg,SPIDER MAN ACROSS THE SPIDER VERSE &quot;Selfie With The Spot&quot; Trailer (NEW 2023),https://www.youtube.com/watch?v=y5Vi7NEcaXg,88509,2986,JoBlo Animated Videos,https://www.youtube.com/channel/UC2sxxXRBL5SgY0fI58BrOCA,2000000,3331,1
BAYOoMUl5D0,di bikin panik ga tuh #basmalahgralind #rakhamala #radenrakha #magic5,https://www.youtube.com/watch?v=BAYOoMUl5D0,175590,28662,US Military Limit,https://www.youtube.com/channel/UCXSQKq8WUBtWPLSEMP3I0Mg,191000,352,1
nr3RRWPXbhM,Transformers: Rise of the Beasts | &quot;Meet the Autobots&quot; Clip (2023 Movie),https://www.youtube.com/watch?v=nr3RRWPXbhM,116656,7143,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,3020000,1642,1
6P4TIdGkwOE,【ピーチ編】『ザ・スーパーマリオブラザーズ・ムービー』キャラクター特別映像,https://www.youtube.com/watch?v=6P4TIdGkwOE,17804,538,シネマトゥデイ,https://www.youtube.com/channel/UCRxDTCmIjgli-Xgh2KPE9dA,2420000,20831,1
TsfVdLSp2a0,Character Promo Video: Asta | Black Clover: Sword of the Wizard King | Netflix Anime,https://www.youtube.com/watch?v=TsfVdLSp2a0,40218,4483,Netflix Anime,https://www.youtube.com/channel/UCBSs9x2KzSLhyyA9IKyt4YA,1380000,1456,1
D56W1zRlTpk,Zombies in Asia - Episodes 3 / Japan ( Countryballs ),https://www.youtube.com/watch?v=D56W1zRlTpk,66489,8870,Andjobe,https://www.youtube.com/channel/UCTRKbVsBIAowTvU4B4yxJTA,633000,70,1
WDIe0PF7grE,Five Nights At Freddy’s | Teaser Trailer,https://www.youtube.com/watch?v=WDIe0PF7grE,271338,17115,Universal Pictures México,https://www.youtube.com/channel/UCuON8B3q1FMIOSE-0sbC_rQ,1590000,304,1
7FaRndNm3dE,[바비] 메인 예고편,https://www.youtube.com/watch?v=7FaRndNm3dE,364156,5954,Warner Bros. Korea,https://www.youtube.com/channel/UC8AD5KHdsFzp8qoJvS4YSYg,98500,1146,1
s2eT84O6kWA,"Power Book II: Ghost Season 3 &#39;Episode 10 Breakdown, Easter Eggs &amp; Clues&#39;",https://www.youtube.com/watch?v=s2eT84O6kWA,11497,676,MOVIE BOT,https://www.youtube.com/channel/UCu1c5btvbPmTgphSX69guNg,133000,875,1
rRe_gQYoRTs,"Transformers: Rise of the Beasts | Filming in Peru Featurette - Anthony Ramos, Dominique Fishback",https://www.youtube.com/watch?v=rRe_gQYoRTs,207322,10614,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,3020000,1642,1
kM2FLNTAr7U,【ドンキーコング編】『ザ・スーパーマリオブラザーズ・ムービー』キャラクター特別映像,https://www.youtube.com/watch?v=kM2FLNTAr7U,64834,1046,シネマトゥデイ,https://www.youtube.com/channel/UCRxDTCmIjgli-Xgh2KPE9dA,2420000,20831,1
u5_kAhT9_ZU,How To Survive On Mars - Mitsi Studio,https://www.youtube.com/watch?v=u5_kAhT9_ZU,3212,1092,Mitsi Studio,https://www.youtube.com/channel/UCuXCgyOCMXic7j0_wghXnRA,248000,11,1
WsASTjauL1o,【キノピオ編】『ザ・スーパーマリオブラザーズ・ムービー』キャラクター特別映像,https://www.youtube.com/watch?v=WsASTjauL1o,121061,3286,シネマトゥデイ,https://www.youtube.com/channel/UCRxDTCmIjgli-Xgh2KPE9dA,2420000,20831,1
YTlipNIValU,LIFE AFTER COLLEGE (Job Application) | Pinoy Animation,https://www.youtube.com/watch?v=YTlipNIValU,2718,645,Vince Animation,https://www.youtube.com/channel/UC6RsTvPS0L9hXbvfEtQA3PQ,399000,42,1
oUHFflLwo6k,Esaret 120. Bölüm Fragmanı | Redemption Episode 120. Promo,https://www.youtube.com/watch?v=oUHFflLwo6k,310018,7227,REDEMPTION,https://www.youtube.com/channel/UCbw1MpgTP8MZiHlTq13QqOw,598000,1121,1
s1iZ1-e1SfA,MIND BLOWN!!! We Put TOP FUEL NITRO In a Daily Driver and It Made INSANE HORSEPOWER!,https://www.youtube.com/watch?v=s1iZ1-e1SfA,379424,32885,Cleetus McFarland,https://www.youtube.com/channel/UCh8f8vssLddD2PbnU3Ag_Bw,3200000,1309,1
ejhMZCRZOjQ,四月,https://www.youtube.com/watch?v=ejhMZCRZOjQ,42008,1672,我是RT,https://www.youtube.com/channel/UCcG2HsNjnAbWOT6E1DRxjGA,607000,507,1
Njil-FnQKXI,TVアニメ「僕の心のヤバイやつ」WEB予告 第9話＜僕は山田が嫌い＞,https://www.youtube.com/watch?v=Njil-FnQKXI,5287,886,NUMAnimation YouTubeチャンネル,https://www.youtube.com/channel/UC14n_UnoAG2woIvYlk1p_8A,23900,137,1
Nh-MXlUuHrk,[생존스쿨 촉망고 시즌2 6화] 수수께끼 소녀 #애니메이션,https://www.youtube.com/watch?v=Nh-MXlUuHrk,13016,794,생존스쿨 촉망고,https://www.youtube.com/channel/UCwNjuBrYuFo2nRtUBlWKvgQ,183000,269,1
